date,apr_pct,tvl_usd
2025-02-24,81.21479,26740233
2025-02-25,133.8404,25297853
2025-02-26,93.50697,21609862
2025-02-27,66.18763,22118839
2025-02-28,104.174,19829126
2025-03-01,36.40572,20226764
2025-03-02,115.01493,22331282
2025-03-03,99.34202,20554087
2025-03-07,87.02112,20108776
2025-03-08,41.72967,21335529
2025-03-09,30.98594,20751367
2025-03-26,29.03414,21004108
2025-03-27,26.61803,20933691
2025-03-28,38.71943,19468194
2025-03-29,33.71856,19019711
2025-03-30,21.06601,18292428
2025-03-31,35.81032,18824275
2025-04-01,31.43795,19485246
2025-04-02,40.15033,19557022
2025-04-03,66.65478,19346433
2025-04-10,85.04555,14694673
2025-04-11,69.40454,12024429
2025-04-12,56.37415,11953185
2025-04-13,59.7217,13023170
2025-04-14,78.79931,13220595
2025-04-15,57.47697,13360427
2025-04-16,52.59969,13478908
2025-04-17,58.05424,13556481
2025-04-18,33.71529,13347579
2025-04-19,14.45932,13386694
2025-04-20,13.84193,13767348
2025-04-22,65.6466,12972182
2025-04-23,67.29803,13234792
2025-04-24,40.90344,12828862
2025-04-25,47.06013,13149401
2025-04-26,33.01756,12962613
2025-04-27,30.23513,13492769
2025-04-28,59.70048,13310568
2025-04-29,42.3651,12573675
2025-04-30,43.39553,12480302
2025-05-01,40.15899,12831849
2025-05-02,34.15106,13482513
2025-05-03,15.90062,13370645
2025-05-04,25.0289,13262714
2025-05-05,32.66647,12923562
2025-05-06,35.44614,12539498
2025-05-07,43.74463,13060518
2025-05-08,91.06036,15455674
2025-05-09,145.98384,15809563
2025-05-10,91.51105,16668934
2025-05-11,95.51793,17827524
2025-05-12,112.48492,19147105
2025-05-13,86.51878,19413328
2025-05-14,90.56635,20659015
2025-05-15,82.85445,19554384
2025-05-23,100.39535,22734256
2025-05-24,35.80331,23412163
2025-05-25,41.07099,23038435
2025-05-26,38.91946,22827766
2025-05-27,61.36762,23938912
2025-05-28,45.98542,23591060
2025-05-29,70.1578,23338330
2025-05-30,70.64169,22346878
2025-05-31,41.27332,22330051
2025-06-01,29.23953,22183557
2025-06-02,41.7106,22741113
2025-06-03,43.12031,22137968
2025-06-04,40.39135,21831509
2025-06-05,78.87623,20287334
2025-06-06,47.60507,22136044
2025-06-07,24.04854,21637129
2025-06-08,21.66323,22003252
2025-06-09,50.94908,23884203
2025-06-10,96.01758,25665925
2025-06-11,97.99348,24620139
2025-06-12,96.21531,23651508
2025-06-13,137.51598,24096966
2025-06-14,42.6679,23814487
2025-06-15,33.36024,22901122
2025-06-16,53.38856,23490743
2025-06-17,78.82827,22627374
2025-06-18,66.27813,21998335
2025-06-19,30.05707,22870392
2025-06-20,58.92903,20754037
2025-06-21,48.78032,19600537
2025-06-22,102.10361,17214666
2025-06-23,81.4708,21049033
2025-06-24,67.58859,20488191
2025-06-25,47.83188,22799684
2025-06-26,52.73434,23118022
2025-06-27,34.00097,22874785
2025-06-28,9.94682,22139154
2025-06-29,18.45363,22168706
2025-06-30,40.07346,22182826
2025-07-01,31.35219,21428751
2025-07-02,38.8991,22380544
2025-07-03,44.1775,23208129
2025-07-04,32.35772,22230354
2025-07-05,15.91406,21974141
2025-07-06,25.25875,22555242
2025-07-07,39.8353,21103776
2025-07-08,33.64319,21641060
2025-07-09,45.21224,20884980
2025-07-10,64.06905,20746375
2025-07-11,65.9806,19343498
2025-07-12,29.37627,18841024
2025-07-13,29.4171,18824749
2025-07-14,61.70048,19438781
2025-07-15,92.24441,17964420
2025-07-16,70.97978,19272200
2025-07-17,100.40508,21031902
2025-07-18,95.93315,19630585
2025-07-19,40.0782,19980121
2025-07-20,65.48871,21459521
2025-07-21,77.51072,20719665
2025-07-22,80.60162,21336450
2025-07-23,75.20659,21121648
2025-07-24,74.52288,21805679
2025-07-25,87.35112,20988977
2025-07-26,41.21458,21595731
2025-07-27,65.05863,21616936
2025-07-28,74.99567,22479771
2025-07-29,81.19645,22562677
2025-07-30,78.12336,24182221
2025-07-31,61.79563,24704129
2025-08-01,110.27755,25424100
2025-08-02,55.91012,25954030
2025-08-03,32.61869,27213216
2025-08-04,48.12613,28917968
2025-08-05,56.37368,28670487
2025-08-06,49.08211,28230191
2025-08-07,59.12793,28548093
2025-08-08,61.81424,28930395
2025-08-09,52.20224,27310460
2025-08-10,47.04783,26532416
2025-08-11,79.88665,26393781
2025-08-12,71.71535,25475405
2025-08-13,67.48122,25955489
2025-08-14,124.9868,25369290
2025-08-15,81.78282,25357011
2025-08-16,34.55218,25344909
2025-08-17,39.62071,26418247
2025-08-18,87.18343,26258737
2025-08-19,72.24114,25746299
2025-08-20,73.461,26875155
2025-08-21,56.84081,25890382
2025-08-22,112.0257,26239617
2025-08-23,37.49335,27067879
2025-08-24,74.98083,26913007
2025-08-25,110.06419,25896689
2025-08-26,85.36255,26546417
2025-08-27,82.0969,26658296
2025-08-28,53.76085,26875329
2025-08-29,78.6486,26320611
2025-08-30,29.12409,26647033
2025-08-31,24.81712,26961388
2025-09-01,62.49993,25716630
2025-09-02,63.47531,26189026
2025-09-03,40.88412,27255933
2025-09-04,43.31774,26374193
2025-09-05,61.99045,26306662
2025-09-06,16.99776,26102003
2025-09-07,13.09487,26424806
2025-09-08,35.01583,26616510
2025-09-09,34.16292,27092630
2025-09-10,34.15617,30442452
2025-09-11,48.61311,30938682
2025-09-12,44.62301,31350125
2025-09-13,31.95804,31719951
2025-09-14,29.6133,32421531
2025-09-15,47.74867,31116481
2025-09-16,32.86243,32766669
2025-09-17,70.82473,33814112
2025-09-18,34.25504,33224163
2025-09-19,30.1916,32732480
2025-09-20,11.39252,32957287
2025-09-21,12.94336,33297109
2025-09-22,62.11175,31703347
2025-09-23,31.47694,32138582
2025-09-24,30.43416,31197353
2025-09-25,81.22288,25897891
2025-09-26,52.9961,26257297
2025-09-27,15.92751,26144071
2025-09-28,20.90953,26240160
2025-09-29,31.24696,26999029
2025-09-30,40.1536,26368929
2025-10-01,45.98669,27887110
2025-10-02,52.80118,28240140
2025-10-03,60.17324,28499836
2025-10-04,21.9854,28264354
2025-10-05,49.61149,28646309
2025-10-06,51.46541,29553647
2025-10-07,65.89261,28729476
2025-10-08,54.27312,28562322
2025-10-09,57.00318,28291918
2025-10-10,96.30687,25752522
2025-10-11,85.72311,23847368
2025-10-12,96.49011,26092112
2025-10-13,90.77162,26070459
2025-10-14,113.04694,26899367
2025-10-15,82.18291,26352187
2025-10-16,83.04893,26054475
2025-10-17,74.45352,25211344
2025-10-18,22.45041,25552428
2025-10-19,38.71519,26102165
2025-10-20,47.2001,25678093
2025-10-21,70.12151,27156692
2025-10-22,67.30788,26372495
2025-10-23,41.09059,26885216
2025-10-24,52.38145,27269230
2025-10-25,20.73911,27694956
2025-10-26,28.83961,28127853
2025-10-27,50.524,28246834
2025-10-28,54.76314,27901412
2025-10-29,68.74469,27386995
2025-10-30,60.40208,26666707
2025-10-31,46.6764,27266102
2025-11-01,13.02293,27782005
2025-11-02,17.54382,27755915
2025-11-03,69.86853,25492111
2025-11-04,114.50691,23849127
2025-11-05,64.22345,21643447
2025-11-06,51.97564,21458083
2025-11-07,55.30826,22197297
2025-11-08,27.45322,22096335
2025-11-09,31.94054,22669498
2025-11-10,42.14877,22863332
2025-11-11,51.60244,22615305
2025-11-12,55.92662,22479329
2025-11-13,83.14855,21252220
2025-11-14,107.13765,23210633
2025-11-15,32.31301,23988586
2025-11-16,62.49805,22363321
2025-11-17,85.67868,21954587
2025-11-18,80.22082,22276483
2025-11-19,67.07621,22159416
2025-11-20,73.7328,20876976
2025-11-21,107.34925,19462627
2025-11-22,25.59027,20066700
2025-11-23,26.17914,20414749
2025-11-24,45.9386,21455506
2025-11-25,35.62394,21210425
2025-11-26,35.59335,21643400
2025-11-28,35.28517,22239549
2025-11-29,32.60947,22136249
2025-11-30,11.07639,21168149
2025-12-01,47.83327,19766592
2025-12-02,32.90756,19975144
2025-12-03,61.44584,21821446
2025-12-04,66.98414,22677236
2025-12-05,57.79195,22186639
2025-12-06,15.61164,22315733
2025-12-07,47.26795,22008367
2025-12-08,61.4178,22649346
2025-12-09,61.48349,23782230
2025-12-10,78.82464,24116886
2025-12-11,55.91046,23731970
2025-12-12,44.67374,23088747
2025-12-13,11.53475,23343791
2025-12-14,18.04764,23046233
2025-12-15,63.56946,21752159
2025-12-16,52.33361,21716858
2025-12-17,40.39427,21838347
2025-12-20,5.69811,23133240
2025-12-21,6.30887,23284354
2025-12-22,37.95794,23306225
2025-12-23,28.26163,23464423
2025-12-24,17.86617,23551197
2025-12-25,10.26614,23258199
2025-12-26,23.48708,23475266
2025-12-27,13.67909,23484943
2025-12-31,14.26845,24145509
2026-01-01,6.17161,24663222
2026-01-02,41.67169,25226594
2026-01-06,35.86993,25703004
2026-01-07,33.7365,24885001
2026-01-08,40.64952,24773914
2026-01-09,40.04744,24622865
2026-01-10,4.14074,24525588
2026-01-11,10.36791,24884376
2026-01-12,40.1082,25029917
2026-01-13,39.41614,26082416
2026-01-14,38.66441,25161765
2026-01-15,37.50388,24976636
2026-01-16,21.43851,25015332
2026-01-17,5.42843,25172800
2026-01-18,9.70432,25194775
2026-01-19,35.13386,24577589
2026-01-20,45.95919,23289632
2026-01-21,36.9618,23312088
2026-01-22,31.57,23399038
2026-01-23,28.80478,23540898
2026-01-24,5.79078,23683180
2026-01-25,32.93626,22397681
2026-01-26,39.9524,24120988
2026-01-27,31.52218,24041742
2026-01-28,32.49059,24239765
2026-01-29,36.40993,24178661
2026-01-30,62.50773,22801667
2026-01-31,84.78362,18887685
2026-02-01,56.49252,17726233
2026-02-02,95.482,18179208
2026-02-03,83.97861,16819018
2026-02-04,83.41592,15678762
2026-02-05,178.98487,12115860
2026-02-06,103.50315,12970150
2026-02-07,124.27487,13208625
2026-02-08,31.10207,13308597
2026-02-09,55.58767,13242980
2026-02-10,39.8085,13759144
2026-02-11,52.59361,13505354
2026-02-12,34.62288,13518597
2026-02-13,31.44555,14020763
2026-02-14,29.73512,14114535
2026-02-15,42.42807,13441685
2026-02-16,29.5281,13643596
2026-02-17,34.80927,13608757
2026-02-18,37.06526,13289265
2026-02-19,30.70458,13302557
2026-02-20,31.38321,13410340
2026-02-21,12.89912,13702800
2026-02-22,13.49109,13571477
2026-02-23,26.25303,13216821
2026-02-24,46.80892,12115263
2026-02-25,43.18586,12030481
2026-02-26,50.22499,12265630
