date,apr_pct,tvl_usd
2025-08-25,51.25973,7932708
2025-08-26,35.7583,8143190
2025-08-27,36.18391,8198774
2025-08-28,24.35095,8080612
2025-08-29,35.70475,7915016
2025-08-30,8.56068,7463743
2025-08-31,9.0319,7643327
2025-09-01,31.70673,7988640
2025-09-02,36.86548,8089739
2025-09-03,22.07528,8301174
2025-09-04,22.71586,8340121
2025-09-05,41.7084,8407281
2025-09-06,6.78876,8331191
2025-09-07,7.13535,8578972
2025-09-08,18.01172,8671663
2025-09-09,22.72689,8697870
2025-09-10,24.29175,8638091
2025-09-11,23.67372,8828483
2025-09-12,18.04927,8855406
2025-09-13,8.77367,8886736
2025-09-14,9.12573,8874151
2025-09-15,24.86481,8557748
2025-09-16,21.75169,9105815
2025-09-17,38.9835,8895635
2025-09-18,20.07239,9037949
2025-09-19,13.58285,8819478
2025-09-20,4.27001,9040378
2025-09-21,6.13882,8103752
2025-09-22,40.90994,8226654
2025-09-23,22.75359,8375467
2025-09-24,22.61403,8523280
2025-09-25,39.88061,8368259
2025-09-26,26.75005,8182834
2025-09-27,4.16322,8131568
2025-09-28,9.6245,8169081
2025-09-29,21.60028,8408651
2025-09-30,25.3082,8309271
2025-10-01,30.15534,8415071
2025-10-02,33.04285,7697669
2025-10-03,35.87004,9829458
2025-10-04,11.89192,9713204
2025-10-05,36.43519,9126803
2025-10-06,32.50918,9744195
2025-10-07,39.14022,9613827
2025-10-08,42.46247,9479112
2025-10-09,47.41074,9284657
2025-10-10,92.9392,8635659
2025-10-11,74.62071,8294970
2025-10-12,75.40868,8519678
2025-10-13,55.92433,8647308
2025-10-14,69.71768,8310250
2025-10-15,45.75439,8685473
2025-10-16,54.6351,8655163
2025-10-17,56.80424,8215278
2025-10-18,9.42957,8569972
2025-10-19,20.45874,8866859
2025-10-20,32.81427,9072749
2025-10-21,63.02502,9060792
2025-10-22,50.62453,9041950
2025-10-23,30.59414,9327386
2025-10-24,27.27825,9366995
2025-10-25,7.02093,9443594
2025-10-26,12.8745,9436283
2025-10-27,25.42302,9426751
2025-10-28,34.64039,9442403
2025-10-29,52.37581,9127329
2025-10-30,45.80426,9098113
2025-10-31,39.36919,9206351
2025-11-01,7.92279,9175894
2025-11-02,11.07641,9124775
2025-11-03,51.046,8910393
2025-11-04,78.98891,7364913
2025-11-05,33.32139,7941382
2025-11-06,35.89755,7477247
2025-11-07,33.40377,8061924
2025-11-08,13.28048,8020928
2025-11-09,18.34694,8015797
2025-11-10,26.92245,8083407
2025-11-11,30.68892,8057234
2025-11-12,26.5109,8028534
2025-11-13,50.6767,7743069
2025-11-14,63.82635,7194257
2025-11-15,17.51264,7296538
2025-11-16,22.24534,7374713
2025-11-17,49.55658,7185274
2025-11-18,55.45743,5213999
2025-11-19,45.01213,4987041
2025-11-20,55.39194,5230635
2025-11-21,124.74659,4019634
2025-11-22,21.08876,4084876
2025-11-23,25.46343,4569959
2025-11-24,42.43017,4855589
2025-11-25,31.47654,4831018
2025-11-26,31.86792,4796337
2025-11-28,23.66537,5085384
2025-11-29,22.14288,5105416
2025-11-30,7.40355,5101321
2025-12-01,51.53865,4750080
2025-12-02,42.47649,4557347
2025-12-03,41.02336,5032787
2025-12-04,39.30318,5085351
2025-12-05,34.1086,4908407
